uei,start,end,state,location,deaths
UEI-IMD-FL-2013-0113,2013-08-23,2013-08-23,Odisha,,1.0
UEI-IMD-FL-2013-0026,2013-08-26,2013-08-28,Bihar,,3.0
UEI-IMD-FL-2013-0018,2013-08-29,2013-08-29,Assam,,
UEI-IMD-FL-2013-0087,2013-09-01,2013-09-01,Kerala,,
UEI-IMD-FL-2013-0019,2013-09-07,2013-09-08,Assam,,
UEI-IMD-FL-2013-0038,2013-09-09,2013-09-09,Himachal Pradesh,,1.0
UEI-IMD-FL-2013-0048,2013-09-09,2013-09-09,Jammu and Kashmir,,2.0
UEI-IMD-FL-2013-0118,2013-09-11,2013-09-11,Tamil Nadu,,4.0
UEI-IMD-FL-2013-0088,2013-09-12,2013-09-12,Kerala,,
UEI-IMD-FL-2013-0007,2013-09-13,2013-09-13,Andhra Pradesh,,2.0
UEI-IMD-FL-2013-0049,2013-09-13,2013-09-13,Jammu and Kashmir,,1.0
UEI-IMD-FL-2013-0039,2013-09-15,2013-09-15,Himachal Pradesh,,
UEI-IMD-FL-2013-0114,2013-09-16,2013-09-16,Odisha,,1.0
UEI-IMD-FL-2013-0089,2013-09-17,2013-09-17,Kerala,,
UEI-IMD-FL-2013-0106,2013-09-19,2013-09-19,Maharashtra,,4.0
UEI-IMD-FL-2013-0031,2013-09-26,2013-10-02,Gujarat,,13.0
UEI-IMD-FL-2013-0107,2013-09-26,2013-09-26,Maharashtra,,8.0
UEI-IMD-FL-2013-0051,2013-10-02,2013-10-02,Jharkhand,,2.0
UEI-IMD-FL-2013-0020,2013-10-06,2013-10-06,Assam,,1.0
UEI-IMD-FL-2013-0008,2013-10-11,2013-10-14,Andhra Pradesh,,1.0
UEI-IMD-FL-2013-0108,2013-10-11,2013-10-11,Maharashtra,,5.0
UEI-IMD-FL-2013-0119,2013-10-15,2013-10-15,Tamil Nadu,,
UEI-IMD-FL-2013-0009,2013-10-20,2013-10-28,Andhra Pradesh,,53.0
UEI-IMD-FL-2013-0120,2013-10-20,2013-10-20,Tamil Nadu,,1.0
UEI-IMD-FL-2013-0121,2013-11-16,2013-11-16,Tamil Nadu,,11.0
UEI-IMD-FL-2013-0122,2013-11-25,2013-11-25,Tamil Nadu,,3.0
UEI-IMD-FL-2013-0134,2013-11-25,2013-11-25,Puducherry,,3.0
UEI-IMD-FL-2013-0123,2013-12-13,2013-12-13,Tamil Nadu,,1.0
UEI-IMD-FL-2014-0020,2014-01-22,2014-01-22,Jammu and Kashmir,,2.0
UEI-IMD-FL-2014-0056,2014-03-03,2014-03-04,Maharashtra,,
UEI-IMD-FL-2014-0041,2014-03-07,2014-03-09,Kerala,,
UEI-IMD-FL-2014-0026,2014-03-08,2014-03-10,Karnataka,,4.0
UEI-IMD-FL-2014-0077,2014-03-08,2014-03-08,Tamil Nadu,,
UEI-IMD-FL-2014-0057,2014-03-09,2014-03-09,Maharashtra,,
UEI-IMD-FL-2014-0042,2014-03-25,2014-03-25,Kerala,,
UEI-IMD-FL-2014-0043,2014-04-10,2014-04-16,Kerala,,6.0
UEI-IMD-FL-2014-0044,2014-04-19,2014-04-30,Kerala,,
UEI-IMD-FL-2014-0058,2014-04-19,2014-04-19,Maharashtra,,
UEI-IMD-FL-2014-0001,2014-05-02,2014-05-03,Andhra Pradesh,,
UEI-IMD-FL-2014-0045,2014-05-03,2014-05-09,Kerala,,4.0
UEI-IMD-FL-2014-0078,2014-05-06,2014-05-08,Tamil Nadu,,3.0
UEI-IMD-FL-2014-0027,2014-05-19,2014-05-20,Karnataka,,5.0
UEI-IMD-FL-2014-0079,2014-05-21,2014-05-21,Tamil Nadu,,2.0
UEI-IMD-FL-2014-0067,2014-05-27,2014-05-28,Odisha,,1.0
UEI-IMD-FL-2014-0028,2014-06-02,2014-06-06,Karnataka,,1.0
UEI-IMD-FL-2014-0046,2014-06-06,2014-06-06,Kerala,,
UEI-IMD-FL-2014-0059,2014-06-10,2014-06-10,Maharashtra,,2.0
UEI-IMD-FL-2014-0047,2014-06-12,2014-06-14,Kerala,,
UEI-IMD-FL-2014-0084,2014-06-19,2014-06-25,Tripura,,
UEI-IMD-FL-2014-0048,2014-06-21,2014-06-21,Kerala,,
UEI-IMD-FL-2014-0004,2014-06-22,2014-06-28,Assam,,8.0
UEI-IMD-FL-2014-0029,2014-06-28,2014-06-29,Karnataka,,2.0
UEI-IMD-FL-2014-0030,2014-07-04,2014-07-09,Karnataka,,4.0
UEI-IMD-FL-2014-0005,2014-07-08,2014-07-10,Assam,,
UEI-IMD-FL-2014-0049,2014-07-12,2014-07-15,Kerala,,9.0
UEI-IMD-FL-2014-0060,2014-07-13,2014-07-13,Maharashtra,,4.0
UEI-IMD-FL-2014-0006,2014-07-14,2014-07-19,Assam,,
UEI-IMD-FL-2014-0016,2014-07-15,2014-07-18,Himachal Pradesh,,1.0
UEI-IMD-FL-2014-0054,2014-07-15,2014-07-16,Madhya Pradesh,,7.0
UEI-IMD-FL-2014-0068,2014-07-19,2014-07-24,Odisha,,12.0
UEI-IMD-FL-2014-0055,2014-07-20,2014-07-25,Madhya Pradesh,,
UEI-IMD-FL-2014-0013,2014-07-22,2014-07-23,Chhattisgarh,,3.0
UEI-IMD-FL-2014-0007,2014-07-23,2014-07-30,Assam,,16.0
UEI-IMD-FL-2014-0017,2014-07-23,2014-07-30,Himachal Pradesh,,3.0
UEI-IMD-FL-2014-0061,2014-07-23,2014-07-28,Maharashtra,,
UEI-IMD-FL-2014-0021,2014-07-24,2014-07-24,Jammu and Kashmir,,
UEI-IMD-FL-2014-0069,2014-07-27,2014-07-30,Odisha,,3.0
UEI-IMD-FL-2014-0086,2014-07-27,2014-07-27,Uttarakhand,,6.0
UEI-IMD-FL-2014-0073,2014-07-29,2014-07-29,Rajasthan,,1.0
UEI-IMD-FL-2014-0014,2014-07-30,2014-07-30,Chhattisgarh,,
UEI-IMD-FL-2014-0022,2014-07-31,2014-07-31,Jammu and Kashmir,,
UEI-IMD-FL-2014-0031,2014-07-31,2014-07-31,Karnataka,,2.0
UEI-IMD-FL-2014-0062,2014-07-31,2014-07-31,Maharashtra,,1.0
UEI-IMD-FL-2014-0087,2014-07-31,2014-07-31,Uttarakhand,,5.0
UEI-IMD-FL-2014-0032,2014-08-01,2014-08-08,Karnataka,,4.0
UEI-IMD-FL-2014-0050,2014-08-01,2014-08-07,Kerala,,
UEI-IMD-FL-2014-0070,2014-08-03,2014-08-16,Odisha,,45.0
UEI-IMD-FL-2014-0074,2014-08-03,2014-08-03,Rajasthan,,2.0
UEI-IMD-FL-2014-0063,2014-08-05,2014-08-05,Maharashtra,,144.0
UEI-IMD-FL-2014-0064,2014-08-05,2014-08-06,Maharashtra,,3.0
UEI-IMD-FL-2014-0018,2014-08-06,2014-08-08,Himachal Pradesh,,1.0
UEI-IMD-FL-2014-0075,2014-08-11,2014-08-11,Rajasthan,,19.0
UEI-IMD-FL-2014-0088,2014-08-11,2014-08-11,Uttarakhand,,
UEI-IMD-FL-2014-0019,2014-08-13,2014-08-15,Himachal Pradesh,,9.0
UEI-IMD-FL-2014-0003,2014-08-14,2014-08-18,Arunachal Pradesh,,1.0
UEI-IMD-FL-2014-0010,2014-08-14,2014-08-27,Bihar,,19.0
UEI-IMD-FL-2014-0085,2014-08-14,2014-08-27,Uttar Pradesh,,82.0
UEI-IMD-FL-2014-0008,2014-08-15,2014-08-31,Assam,,
UEI-IMD-FL-2014-0051,2014-08-22,2014-08-24,Kerala,,4.0
UEI-IMD-FL-2014-0080,2014-08-22,2014-08-22,Tamil Nadu,,2.0
UEI-IMD-FL-2014-0033,2014-08-23,2014-08-31,Karnataka,,9.0
UEI-IMD-FL-2014-0034,2014-09-01,2014-09-01,Karnataka,,1.0
UEI-IMD-FL-2014-0052,2014-09-01,2014-09-03,Kerala,,
UEI-IMD-FL-2014-0035,2014-09-02,2014-09-02,Karnataka,,
UEI-IMD-FL-2014-0072,2014-09-04,2014-09-10,Punjab,,22.0
UEI-IMD-FL-2014-0071,2014-09-05,2014-09-09,Odisha,,3.0
UEI-IMD-FL-2014-0076,2014-09-05,2014-09-05,Rajasthan,,2.0
UEI-IMD-FL-2014-0002,2014-09-06,2014-09-09,Andhra Pradesh,,4.0
UEI-IMD-FL-2014-0082,2014-09-06,2014-09-09,Telangana,,4.0
UEI-IMD-FL-2014-0023,2014-09-08,2014-09-14,Jammu and Kashmir,,200.0
UEI-IMD-FL-2014-0065,2014-09-08,2014-09-09,Maharashtra,,1.0
UEI-IMD-FL-2014-0011,2014-09-14,2014-09-20,Bihar,,28.0
UEI-IMD-FL-2014-0009,2014-09-22,2014-09-30,Assam,,45.0
UEI-IMD-FL-2014-0066,2014-09-23,2014-09-30,Meghalaya,,45.0
UEI-IMD-FL-2014-0081,2014-09-23,2014-09-23,Tamil Nadu,,1.0
UEI-IMD-FL-2014-0036,2014-09-24,2014-09-24,Karnataka,,1.0
UEI-IMD-FL-2014-0053,2014-09-26,2014-09-26,Kerala,,
UEI-IMD-FL-2014-0037,2014-10-01,2014-10-01,Karnataka,,1.0
UEI-IMD-FL-2014-0038,2014-10-05,2014-10-09,Karnataka,,2.0
UEI-IMD-FL-2014-0025,2014-10-12,2014-10-14,Jharkhand,,
UEI-IMD-FL-2014-0015,2014-10-13,2014-10-15,Chhattisgarh,,6.0
UEI-IMD-FL-2014-0012,2014-10-14,2014-10-14,Bihar,,1.0
UEI-IMD-FL-2014-0039,2014-10-25,2014-10-25,Karnataka,,
UEI-IMD-FL-2014-0083,2014-10-27,2014-10-27,Telangana,,
UEI-IMD-FL-2014-0040,2014-10-28,2014-10-28,Karnataka,,1.0
UEI-IMD-FL-2014-0024,2014-11-09,2014-11-09,Jammu and Kashmir,,
UEI-IMD-FL-2015-0005,2015-02-19,2015-02-19,Assam,,2.0
UEI-IMD-FL-2015-0044,2015-03-03,2015-03-09,Kerala,,
UEI-IMD-FL-2015-0033,2015-03-06,2015-03-14,Karnataka,,1.0
UEI-IMD-FL-2015-0045,2015-03-13,2015-03-17,Kerala,,
UEI-IMD-FL-2015-0078,2015-03-14,2015-03-15,Rajasthan,,15.0
UEI-IMD-FL-2015-0025,2015-03-21,2015-03-21,Jammu and Kashmir,,1.0
UEI-IMD-FL-2015-0046,2015-03-27,2015-03-31,Kerala,,
UEI-IMD-FL-2015-0026,2015-03-30,2015-03-30,Jammu and Kashmir,,16.0
UEI-IMD-FL-2015-0018,2015-04-03,2015-04-04,Himachal Pradesh,,1.0
UEI-IMD-FL-2015-0027,2015-04-04,2015-04-04,Jammu and Kashmir,,24.0
UEI-IMD-FL-2015-0100,2015-04-04,2015-04-04,Uttar Pradesh,,12.0
UEI-IMD-FL-2015-0047,2015-04-06,2015-04-10,Kerala,,1.0
UEI-IMD-FL-2015-0034,2015-04-07,2015-04-12,Karnataka,,4.0
UEI-IMD-FL-2015-0048,2015-04-11,2015-04-16,Kerala,,5.0
UEI-IMD-FL-2015-0084,2015-04-12,2015-04-12,Tamil Nadu,,
UEI-IMD-FL-2015-0049,2015-04-19,2015-04-25,Kerala,,1.0
UEI-IMD-FL-2015-0085,2015-04-21,2015-04-21,Tamil Nadu,,1.0
UEI-IMD-FL-2015-0035,2015-04-22,2015-04-23,Karnataka,,1.0
UEI-IMD-FL-2015-0086,2015-04-25,2015-04-25,Tamil Nadu,,3.0
UEI-IMD-FL-2015-0050,2015-04-26,2015-04-30,Kerala,,
UEI-IMD-FL-2015-0051,2015-05-03,2015-05-05,Kerala,,
UEI-IMD-FL-2015-0036,2015-05-04,2015-05-11,Karnataka,,2.0
UEI-IMD-FL-2015-0052,2015-05-07,2015-05-09,Kerala,,
UEI-IMD-FL-2015-0053,2015-05-10,2015-05-14,Kerala,,
UEI-IMD-FL-2015-0087,2015-05-14,2015-05-14,Tamil Nadu,,3.0
UEI-IMD-FL-2015-0054,2015-05-15,2015-05-28,Kerala,,5.0
UEI-IMD-FL-2015-0088,2015-05-17,2015-05-19,Tamil Nadu,,11.0
UEI-IMD-FL-2015-0037,2015-05-27,2015-05-31,Karnataka,,1.0
UEI-IMD-FL-2015-0006,2015-06-01,2015-06-06,Assam,,
UEI-IMD-FL-2015-0067,2015-06-07,2015-06-16,Maharashtra,,17.0
UEI-IMD-FL-2015-0055,2015-06-08,2015-06-16,Kerala,,1.0
UEI-IMD-FL-2015-0007,2015-06-09,2015-06-17,Assam,,3.0
UEI-IMD-FL-2015-0004,2015-06-10,2015-06-10,Arunachal Pradesh,,2.0
UEI-IMD-FL-2015-0017,2015-06-13,2015-09-22,Gujarat,,70.0
UEI-IMD-FL-2015-0073,2015-06-17,2015-06-17,Meghalaya,,5.0
UEI-IMD-FL-2015-0089,2015-06-17,2015-06-17,Tamil Nadu,,1.0
UEI-IMD-FL-2015-0056,2015-06-19,2015-06-29,Kerala,,11.0
UEI-IMD-FL-2015-0001,2015-06-20,2015-06-21,Andhra Pradesh,,
UEI-IMD-FL-2015-0008,2015-06-20,2015-06-24,Assam,,1.0
UEI-IMD-FL-2015-0019,2015-06-20,2015-06-21,Himachal Pradesh,,1.0
UEI-IMD-FL-2015-0038,2015-06-20,2015-06-25,Karnataka,,8.0
UEI-IMD-FL-2015-0090,2015-06-21,2015-06-21,Tamil Nadu,,1.0
UEI-IMD-FL-2015-0068,2015-06-23,2015-06-23,Maharashtra,,6.0
UEI-IMD-FL-2015-0082,2015-07-01,2015-07-01,Sikkim,,18.0
UEI-IMD-FL-2015-0105,2015-07-01,2015-07-10,West Bengal,,48.0
UEI-IMD-FL-2015-0083,2015-07-05,2015-07-05,Sikkim,,41.0
UEI-IMD-FL-2015-0028,2015-07-06,2015-07-06,Jammu and Kashmir,,1.0
UEI-IMD-FL-2015-0029,2015-07-09,2015-07-16,Jammu and Kashmir,,13.0
UEI-IMD-FL-2015-0020,2015-07-10,2015-07-11,Himachal Pradesh,,
UEI-IMD-FL-2015-0039,2015-07-10,2015-07-20,Karnataka,,10.0
UEI-IMD-FL-2015-0101,2015-07-11,2015-07-12,Uttar Pradesh,,15.0
UEI-IMD-FL-2015-0009,2015-07-14,2015-07-17,Assam,,5.0
UEI-IMD-FL-2015-0021,2015-07-16,2015-07-17,Himachal Pradesh,,3.0
UEI-IMD-FL-2015-0091,2015-07-17,2015-07-17,Tamil Nadu,,1.0
UEI-IMD-FL-2015-0057,2015-07-18,2015-07-20,Kerala,,9.0
UEI-IMD-FL-2015-0065,2015-07-19,2015-07-21,Madhya Pradesh,,15.0
UEI-IMD-FL-2015-0069,2015-07-20,2015-07-20,Maharashtra,,2.0
UEI-IMD-FL-2015-0106,2015-07-20,2015-07-24,West Bengal,,5.0
UEI-IMD-FL-2015-0079,2015-07-22,2015-07-31,Rajasthan,,20.0
UEI-IMD-FL-2015-0014,2015-07-24,2015-07-24,Bihar,,2.0
UEI-IMD-FL-2015-0030,2015-07-24,2015-07-24,Jammu and Kashmir,,3.0
UEI-IMD-FL-2015-0031,2015-07-25,2015-07-31,Jammu and Kashmir,,4.0
UEI-IMD-FL-2015-0022,2015-07-26,2015-07-26,Himachal Pradesh,,3.0
UEI-IMD-FL-2015-0104,2015-07-26,2015-07-26,Uttarakhand,,1.0
UEI-IMD-FL-2015-0070,2015-07-28,2015-07-28,Maharashtra,,4.0
UEI-IMD-FL-2015-0071,2015-07-29,2015-07-29,Maharashtra,,9.0
UEI-IMD-FL-2015-0074,2015-08-01,2015-08-01,Odisha,,1.0
UEI-IMD-FL-2015-0080,2015-08-01,2015-08-05,Rajasthan,,41.0
UEI-IMD-FL-2015-0075,2015-08-02,2015-08-02,Odisha,,5.0
UEI-IMD-FL-2015-0072,2015-08-06,2015-08-14,Maharashtra,,8.0
UEI-IMD-FL-2015-0023,2015-08-08,2015-08-12,Himachal Pradesh,,6.0
UEI-IMD-FL-2015-0058,2015-08-12,2015-08-12,Kerala,,
UEI-IMD-FL-2015-0066,2015-08-13,2015-08-13,Madhya Pradesh,,1.0
UEI-IMD-FL-2015-0081,2015-08-16,2015-08-16,Rajasthan,,2.0
UEI-IMD-FL-2015-0010,2015-08-19,2015-08-23,Assam,,8.0
UEI-IMD-FL-2015-0024,2015-08-19,2015-08-19,Himachal Pradesh,,10.0
UEI-IMD-FL-2015-0011,2015-08-25,2015-08-31,Assam,,7.0
UEI-IMD-FL-2015-0012,2015-09-01,2015-09-12,Assam,,28.0
UEI-IMD-FL-2015-0077,2015-09-01,2015-09-30,Punjab,,11.0
UEI-IMD-FL-2015-0015,2015-09-03,2015-09-03,Chhattisgarh,,1.0
UEI-IMD-FL-2015-0040,2015-09-05,2015-09-07,Karnataka,,5.0
UEI-IMD-FL-2015-0059,2015-09-05,2015-09-06,Kerala,,
UEI-IMD-FL-2015-0099,2015-09-06,2015-09-12,Telangana,,5.0
UEI-IMD-FL-2015-0076,2015-09-14,2015-09-16,Odisha,,4.0
UEI-IMD-FL-2015-0016,2015-09-18,2015-09-22,Chhattisgarh,,2.0
UEI-IMD-FL-2015-0013,2015-09-23,2015-09-25,Assam,,
UEI-IMD-FL-2015-0032,2015-09-23,2015-09-23,Jammu and Kashmir,,
UEI-IMD-FL-2015-0060,2015-09-27,2015-09-28,Kerala,,
UEI-IMD-FL-2015-0041,2015-09-29,2015-09-29,Karnataka,,
UEI-IMD-FL-2015-0042,2015-10-01,2015-10-04,Karnataka,,4.0
UEI-IMD-FL-2015-0061,2015-10-08,2015-10-09,Kerala,,
UEI-IMD-FL-2015-0102,2015-10-28,2015-10-28,Uttar Pradesh,,2.0
UEI-IMD-FL-2015-0062,2015-10-30,2015-10-31,Kerala,,
UEI-IMD-FL-2015-0063,2015-11-01,2015-11-21,Kerala,,2.0
UEI-IMD-FL-2015-0043,2015-11-02,2015-11-02,Karnataka,,
UEI-IMD-FL-2015-0092,2015-11-09,2015-11-09,Tamil Nadu,,13.0
UEI-IMD-FL-2015-0093,2015-11-11,2015-11-13,Tamil Nadu,,25.0
UEI-IMD-FL-2015-0002,2015-11-15,2015-11-23,Andhra Pradesh,,88.0
UEI-IMD-FL-2015-0094,2015-11-18,2015-11-22,Tamil Nadu,,47.0
UEI-IMD-FL-2015-0095,2015-11-23,2015-11-23,Tamil Nadu,,50.0
UEI-IMD-FL-2015-0096,2015-11-28,2015-11-30,Tamil Nadu,,32.0
UEI-IMD-FL-2015-0097,2015-12-01,2015-12-03,Tamil Nadu,,17.0
UEI-IMD-FL-2015-0103,2015-12-01,2015-12-01,Uttar Pradesh,,5.0
UEI-IMD-FL-2015-0107,2015-12-02,2015-12-02,Puducherry,,2.0
UEI-IMD-FL-2015-0064,2015-12-08,2015-12-19,Kerala,,
UEI-IMD-FL-2015-0098,2015-12-08,2015-12-11,Tamil Nadu,,30.0
UEI-IMD-FL-2015-0003,2015-12-22,2015-12-22,Andhra Pradesh,,4.0
UEI-IMD-FL-2016-0117,2016-03-02,2016-03-02,Telangana,,
UEI-IMD-FL-2016-0121,2016-03-12,2016-03-12,Uttar Pradesh,,5.0
UEI-IMD-FL-2016-0076,2016-04-14,2016-04-14,Kerala,,2.0
UEI-IMD-FL-2016-0009,2016-04-21,2016-04-21,Assam,,42.0
UEI-IMD-FL-2016-0004,2016-04-22,2016-04-22,Arunachal Pradesh,,17.0
UEI-IMD-FL-2016-0005,2016-04-24,2016-04-27,Arunachal Pradesh,,
UEI-IMD-FL-2016-0010,2016-04-24,2016-04-27,Assam,,8.0
UEI-IMD-FL-2016-0126,2016-05-08,2016-05-08,Uttarakhand,,
UEI-IMD-FL-2016-0039,2016-05-10,2016-05-10,Himachal Pradesh,,5.0
UEI-IMD-FL-2016-0049,2016-05-12,2016-05-12,Jammu and Kashmir,,
UEI-IMD-FL-2016-0011,2016-05-17,2016-05-17,Assam,,11.0
UEI-IMD-FL-2016-0012,2016-05-18,2016-05-18,Assam,,
UEI-IMD-FL-2016-0023,2016-05-18,2016-05-18,Bihar,,
UEI-IMD-FL-2016-0120,2016-05-18,2016-05-18,Tripura,,
UEI-IMD-FL-2016-0091,2016-05-21,2016-05-21,Maharashtra,,2.0
UEI-IMD-FL-2016-0127,2016-05-22,2016-05-22,Uttarakhand,,10.0
UEI-IMD-FL-2016-0106,2016-05-23,2016-05-23,Mizoram,,3.0
UEI-IMD-FL-2016-0128,2016-05-28,2016-05-28,Uttarakhand,,5.0
UEI-IMD-FL-2016-0077,2016-05-31,2016-05-31,Kerala,,1.0
UEI-IMD-FL-2016-0038,2016-06-01,2016-09-28,Gujarat,,81.0
UEI-IMD-FL-2016-0032,2016-06-02,2016-06-03,Chhattisgarh,,
UEI-IMD-FL-2016-0092,2016-06-06,2016-06-06,Maharashtra,,2.0
UEI-IMD-FL-2016-0050,2016-06-07,2016-06-07,Jammu and Kashmir,,2.0
UEI-IMD-FL-2016-0078,2016-06-07,2016-06-09,Kerala,,2.0
UEI-IMD-FL-2016-0079,2016-06-10,2016-06-13,Kerala,,2.0
UEI-IMD-FL-2016-0115,2016-06-11,2016-06-13,Tamil Nadu,,3.0
UEI-IMD-FL-2016-0033,2016-06-12,2016-06-13,Chhattisgarh,,
UEI-IMD-FL-2016-0040,2016-06-15,2016-06-16,Himachal Pradesh,,
UEI-IMD-FL-2016-0080,2016-06-16,2016-06-19,Kerala,,
UEI-IMD-FL-2016-0013,2016-06-19,2016-06-25,Assam,,
UEI-IMD-FL-2016-0062,2016-06-20,2016-06-20,Karnataka,,1.0
UEI-IMD-FL-2016-0093,2016-06-20,2016-06-20,Maharashtra,,1.0
UEI-IMD-FL-2016-0063,2016-06-22,2016-06-22,Karnataka,,2.0
UEI-IMD-FL-2016-0094,2016-06-25,2016-06-25,Maharashtra,,2.0
UEI-IMD-FL-2016-0081,2016-06-26,2016-06-29,Kerala,,
UEI-IMD-FL-2016-0064,2016-06-27,2016-06-27,Karnataka,,1.0
UEI-IMD-FL-2016-0085,2016-06-30,2016-06-30,Madhya Pradesh,,
UEI-IMD-FL-2016-0006,2016-07-01,2016-07-01,Arunachal Pradesh,,10.0
UEI-IMD-FL-2016-0095,2016-07-01,2016-07-03,Maharashtra,,11.0
UEI-IMD-FL-2016-0122,2016-07-01,2016-07-03,Uttar Pradesh,,26.0
UEI-IMD-FL-2016-0082,2016-07-02,2016-07-02,Kerala,,
UEI-IMD-FL-2016-0014,2016-07-03,2016-07-07,Assam,,2.0
UEI-IMD-FL-2016-0041,2016-07-03,2016-07-04,Himachal Pradesh,,
UEI-IMD-FL-2016-0055,2016-07-03,2016-07-05,Jharkhand,,2.0
UEI-IMD-FL-2016-0065,2016-07-03,2016-07-06,Karnataka,,
UEI-IMD-FL-2016-0129,2016-07-03,2016-07-03,Uttarakhand,,20.0
UEI-IMD-FL-2016-0086,2016-07-06,2016-07-06,Madhya Pradesh,,6.0
UEI-IMD-FL-2016-0015,2016-07-07,2016-07-07,Assam,,2.0
UEI-IMD-FL-2016-0087,2016-07-07,2016-07-07,Madhya Pradesh,,3.0
UEI-IMD-FL-2016-0088,2016-07-08,2016-07-10,Madhya Pradesh,,11.0
UEI-IMD-FL-2016-0096,2016-07-08,2016-07-10,Maharashtra,,9.0
UEI-IMD-FL-2016-0042,2016-07-10,2016-07-17,Himachal Pradesh,,
UEI-IMD-FL-2016-0083,2016-07-10,2016-07-15,Kerala,,1.0
UEI-IMD-FL-2016-0066,2016-07-11,2016-07-12,Karnataka,,1.0
UEI-IMD-FL-2016-0097,2016-07-11,2016-07-12,Maharashtra,,1.0
UEI-IMD-FL-2016-0109,2016-07-11,2016-07-11,Rajasthan,,
UEI-IMD-FL-2016-0098,2016-07-12,2016-07-12,Maharashtra,,2.0
UEI-IMD-FL-2016-0016,2016-07-13,2016-07-18,Assam,,2.0
UEI-IMD-FL-2016-0001,2016-07-14,2016-07-14,Andhra Pradesh,,
UEI-IMD-FL-2016-0017,2016-07-14,2016-07-14,Assam,,2.0
UEI-IMD-FL-2016-0067,2016-07-15,2016-07-15,Karnataka,,
UEI-IMD-FL-2016-0110,2016-07-15,2016-07-15,Rajasthan,,
UEI-IMD-FL-2016-0130,2016-07-16,2016-07-17,Uttarakhand,,15.0
UEI-IMD-FL-2016-0123,2016-07-18,2016-07-18,Uttar Pradesh,,10.0
UEI-IMD-FL-2016-0132,2016-07-20,2016-07-20,West Bengal,,3.0
UEI-IMD-FL-2016-0018,2016-07-21,2016-07-31,Assam,,22.0
UEI-IMD-FL-2016-0131,2016-07-21,2016-07-23,Uttarakhand,,11.0
UEI-IMD-FL-2016-0068,2016-07-22,2016-07-22,Karnataka,,
UEI-IMD-FL-2016-0043,2016-07-23,2016-07-31,Himachal Pradesh,,2.0
