uei,start,end,state,location,deaths
UEI-IMD-FL-2016-0133,2016-07-24,2016-07-25,West Bengal,,4.0
UEI-IMD-FL-2016-0024,2016-07-25,2016-07-27,Bihar,,
UEI-IMD-FL-2016-0116,2016-07-26,2016-07-26,Tamil Nadu,,2.0
UEI-IMD-FL-2016-0051,2016-07-27,2016-07-27,Jammu and Kashmir,,3.0
UEI-IMD-FL-2016-0099,2016-07-28,2016-07-28,Maharashtra,,2.0
UEI-IMD-FL-2016-0111,2016-07-28,2016-07-28,Rajasthan,,
UEI-IMD-FL-2016-0069,2016-07-29,2016-07-29,Karnataka,,
UEI-IMD-FL-2016-0100,2016-07-30,2016-07-31,Maharashtra,,1.0
UEI-IMD-FL-2016-0124,2016-07-30,2016-07-30,Uttar Pradesh,,3.0
UEI-IMD-FL-2016-0070,2016-07-31,2016-07-31,Karnataka,,
UEI-IMD-FL-2016-0019,2016-08-01,2016-08-05,Assam,,3.0
UEI-IMD-FL-2016-0044,2016-08-01,2016-08-02,Himachal Pradesh,,1.0
UEI-IMD-FL-2016-0101,2016-08-01,2016-08-01,Maharashtra,,9.0
UEI-IMD-FL-2016-0034,2016-08-02,2016-08-02,Chhattisgarh,,1.0
UEI-IMD-FL-2016-0089,2016-08-02,2016-08-02,Madhya Pradesh,,4.0
UEI-IMD-FL-2016-0102,2016-08-02,2016-08-02,Maharashtra,,
UEI-IMD-FL-2016-0056,2016-08-03,2016-08-03,Jharkhand,,1.0
UEI-IMD-FL-2016-0103,2016-08-03,2016-08-03,Maharashtra,,
UEI-IMD-FL-2016-0108,2016-08-03,2016-08-08,Odisha,,2.0
UEI-IMD-FL-2016-0007,2016-08-05,2016-08-05,Arunachal Pradesh,,3.0
UEI-IMD-FL-2016-0045,2016-08-05,2016-08-07,Himachal Pradesh,,1.0
UEI-IMD-FL-2016-0052,2016-08-05,2016-08-05,Jammu and Kashmir,,5.0
UEI-IMD-FL-2016-0071,2016-08-05,2016-08-09,Karnataka,,
UEI-IMD-FL-2016-0053,2016-08-06,2016-08-07,Jammu and Kashmir,,2.0
